               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1313,            0.022035,            0.093661,          0.00086994,            0.044053,           0.0013532,          0.00052618,             0.10693,            0.019875,            0.067132,            0.070095,           0.0033228,           0.0033228
                   1,             0.10344,            0.022151,            0.072895,           0.0013597,             0.10149,           0.0029942,            0.001626,            0.096753,            0.019537,            0.062844,            0.037899,           0.0044596,           0.0044596
                   2,            0.095917,            0.021986,             0.07132,           0.0013533,             0.14423,            0.002848,           0.0016322,            0.090021,            0.019795,            0.061203,           0.0035022,           0.0033964,           0.0033964
