               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13171,             0.02192,            0.093539,          0.00090025,            0.050411,           0.0014375,          0.00061239,              0.1073,            0.019653,            0.066916,            0.070095,           0.0033228,           0.0033228
                   1,             0.10378,            0.022058,             0.07275,           0.0012431,            0.082359,            0.002684,           0.0014235,            0.097048,            0.019581,            0.062683,            0.037899,           0.0044596,           0.0044596
                   2,            0.096407,            0.021862,            0.071206,           0.0013093,             0.13545,             0.00278,           0.0016298,            0.090819,            0.019559,            0.061062,           0.0035022,           0.0033964,           0.0033964
